sid,assignment1,assignment2,final
1155079211,100,100,78
1155092012,93,90,80
1155092013,75,100,98
1155073114,30,50,70
1155092015,35,55,64
1155089016,45,100,68
1155092017,47,95,84
1155010318,49,95,89
1155092019,49,90,85
1155090110,50,80,78
1155090210,51,78,70
1155090110,52,78,50
1155090110,52,65,55
1155092131,53,100,76
1155090112,55,98,77
1155090118,87,98,89
1155090113,98,95,90
1155090114,61,85,78
1155090114,62,90,78
1155090310,65,90,90
1155090115,66,90,67
1155010134,99,90,95
1155090116,80,85,65
1155091927,78,53,65
1155090118,80,52,82
1155090110,85,100,100
1155090120,99,100,100
